id,surname,first_name,age,sex,marital_status,occupation,borough,birthplace,household_id,annual_wage_cents
40,Levy,Bridget,0,F,single,none,Manhattan,Germany,10,28365
41,Levy,Daniel,64,M,single,tailor,Manhattan,Germany,10,50077
42,Levy,Olga,30,F,single,clerk,Manhattan,Germany,10,48071
43,Levy,Angela,64,F,single,typesetter,Manhattan,Germany,10,43404
44,Lewandowski,Isaac,16,M,single,seamstress,Manhattan,New York,11,25200
45,Bianchi,Margaret,65,F,single,cobbler,Manhattan,Massachusetts,12,45799
46,Bianchi,Friedrich,62,M,married,merchant,Manhattan,Massachusetts,12,118860
47,Bianchi,Jacob,8,M,single,none,Manhattan,Massachusetts,12,30653
48,Wagner,Teresa,12,F,single,nurse,Queens,Russia,13,36969
49,Wagner,Gertrud,16,F,single,engineer,Queens,Russia,13,96987
50,Wagner,Esther,32,F,married,driver,Queens,Russia,13,34139
51,Wagner,Gertrud,7,F,single,none,Queens,Russia,13,37919
52,Becker,Margaret,15,F,single,none,Brooklyn,Scotland,14,23619
53,Becker,Angela,42,F,married,servant,Brooklyn,Scotland,14,27603
54,Becker,Maria,78,F,married,driver,Brooklyn,Scotland,14,40293
55,Wojcik,Patrick,50,M,married,machinist,Manhattan,Germany,15,50710
56,Becker,Angela,14,F,single,machinist,Bronx,New York,16,60583
57,Becker,Rebecca,7,F,single,none,Bronx,New York,16,32810
58,Becker,Teresa,26,F,married,porter,Bronx,New York,16,30960
59,Becker,Jacob,1,M,single,none,Bronx,New York,16,28225
60,Becker,Karl,1,M,single,none,Bronx,New York,16,21943
61,Ryan,Isaac,54,M,married,typesetter,Brooklyn,Ireland,17,38647
62,Ryan,Gertrud,71,F,married,driver,Brooklyn,Ireland,17,36375
63,Ryan,Catherine,57,F,married,shopkeeper,Brooklyn,Ireland,17,81120
64,Ryan,Angela,1,F,single,none,Brooklyn,Ireland,17,22882
65,Ryan,Leah,75,F,widowed,carpenter,Brooklyn,Ireland,17,41822
66,Sullivan,Marta,10,F,single,none,Manhattan,New Jersey,18,28675
67,Bianchi,Bridget,77,F,married,none,Manhattan,Ireland,19,39964
68,Bianchi,Michael,0,M,single,none,Manhattan,Ireland,19,21914
69,Wagner,Boris,40,M,single,teacher,Bronx,New York,20,69005
70,Wagner,Thomas,15,M,single,none,Bronx,New York,20,28426
71,Wagner,Gertrud,31,F,single,milliner,Bronx,New York,20,28666
72,Wagner,Esther,0,F,single,none,Bronx,New York,20,21202
73,Sullivan,Joseph,15,M,single,none,Manhattan,Poland,21,25568
74,Sullivan,David,31,M,married,clerk,Manhattan,Poland,21,40249
75,Sullivan,Esther,4,F,single,none,Manhattan,Poland,21,23351
76,Sullivan,Josef,2,M,single,none,Manhattan,Poland,21,33417
77,Sullivan,Salvatore,26,M,married,typesetter,Manhattan,Poland,21,45599
78,Wilson,Marta,11,F,single,none,Brooklyn,Germany,22,30051
79,Wilson,Ruth,38,F,married,servant,Brooklyn,Germany,22,21109
80,Wilson,Maria,0,F,single,none,Brooklyn,Germany,22,31360
81,Wilson,Leah,52,F,single,merchant,Brooklyn,Germany,22,127752
82,Miller,Marta,75,F,married,clerk,Manhattan,Poland,23,53522
83,Miller,David,77,M,married,none,Manhattan,Poland,23,39483
84,Miller,Boris,63,M,married,merchant,Manhattan,Poland,23,118434
85,Smith,Joseph,75,M,single,machinist,Brooklyn,Germany,24,60114
86,Esposito,Jacob,0,M,single,none,Manhattan,New York,25,20671
87,Esposito,Friedrich,59,M,married,none,Manhattan,New York,25,23840
88,Esposito,Olga,39,F,single,tailor,Manhattan,New York,25,41965
89,Esposito,Angela,60,F,married,nurse,Manhattan,New York,25,52747
90,Rossi,Stanislaw,19,M,married,teacher,Brooklyn,Ireland,26,68741
91,Stein,Otto,33,M,single,clerk,Manhattan,New York,27,59358
92,Stein,Abraham,24,M,single,cobbler,Manhattan,New York,27,33851
93,Stein,Rosa,5,F,single,none,Manhattan,New York,27,35528
94,Sullivan,Friedrich,56,M,married,machinist,Queens,Germany,28,53272
95,Walsh,Rebecca,52,F,single,nurse,Manhattan,Russia,29,35693
96,Jones,Antonio,19,M,single,nurse,Brooklyn,Massachusetts,30,52933
97,Silverman,Giuseppe,72,M,married,nurse,Brooklyn,Sweden,31,44398
98,Silverman,Jacob,2,M,single,none,Brooklyn,Sweden,31,25488
99,Silverman,Daniel,61,M,widowed,stevedore,Brooklyn,Sweden,31,45427
100,Petrov,Rachel,40,F,single,shopkeeper,Brooklyn,Ireland,32,66993
101,Petrov,Patrick,14,M,single,none,Brooklyn,Ireland,32,39065
102,Silverman,Patrick,65,M,single,nurse,Manhattan,Ireland,33,41506
103,Silverman,Rosa,71,F,married,cobbler,Manhattan,Ireland,33,37053
104,Rossi,Teresa,11,F,single,none,Manhattan,Ireland,34,24776
105,Roth,David,0,M,single,none,Queens,Ireland,35,22749
106,Roth,James,7,M,single,none,Queens,Ireland,35,33117
107,Roth,Mary,58,F,single,cobbler,Queens,Ireland,35,41052
108,Roth,James,2,M,single,none,Queens,Ireland,35,29279
109,Kelly,Gertrud,72,F,single,milliner,Brooklyn,Russia,36,41364
110,Kelly,David,15,M,single,none,Brooklyn,Russia,36,24814
111,Ferrari,Jacob,24,M,widowed,milliner,Staten Island,Ireland,37,28563
112,Cohen,Jacob,47,M,married,milliner,Bronx,Poland,38,35844
113,Cohen,Stanislaw,71,M,married,washerwoman,Bronx,Poland,38,28013
114,Cohen,Rebecca,54,F,married,clerk,Bronx,Poland,38,40128
115,Cohen,Otto,58,M,single,butcher,Bronx,Poland,38,50707
116,Callahan,John,66,M,single,typesetter,Manhattan,Ireland,39,51782
117,Callahan,Hilda,9,F,single,none,Manhattan,Ireland,39,30536
118,Callahan,Wilhelm,15,M,single,none,Manhattan,Ireland,39,20366
119,Callahan,Josef,78,M,single,milliner,Manhattan,Ireland,39,32256
120,Callahan,Bridget,0,F,single,none,Manhattan,Ireland,39,35554
121,Silverman,Ruth,62,F,single,servant,Brooklyn,New York,40,23105
122,Silverman,Catherine,20,F,single,butcher,Brooklyn,New York,40,37788
123,Sullivan,Anna,69,F,single,grocer,Manhattan,Italy,41,45733
124,Sullivan,Luigi,7,M,single,none,Manhattan,Italy,41,23149
125,Walsh,Sarah,32,F,single,tailor,Manhattan,New York,42,39879
126,Walsh,Joseph,0,M,single,none,Manhattan,New York,42,32285
127,Walsh,Anna,1,F,single,none,Manhattan,New York,42,37494
128,"O'Brien",Marta,4,F,single,none,Brooklyn,New York,43,39778
129,"O'Brien",Giuseppe,9,M,single,none,Brooklyn,New York,43,23949
130,Andersen,Ellen,68,F,married,merchant,Brooklyn,Ireland,44,117620
131,Andersen,Leah,46,F,single,grocer,Brooklyn,Ireland,44,41269
132,Andersen,Zofia,69,F,single,bookkeeper,Brooklyn,Ireland,44,59915
133,Smith,Isaac,68,M,married,washerwoman,Manhattan,New York,45,33660
134,Hoffmann,Hilda,79,F,single,driver,Queens,Germany,46,28366
135,Hoffmann,Olga,13,F,single,grocer,Queens,Germany,46,46044
136,Hoffmann,Otto,52,M,married,machinist,Queens,Germany,46,60963
137,Ricci,Luigi,78,M,single,washerwoman,Bronx,New York,47,26703
138,Ricci,Wilhelm,0,M,single,none,Bronx,New York,47,32750
139,Ricci,Isaac,38,M,single,baker,Bronx,New York,47,32682
140,Ricci,Maria,11,F,single,none,Bronx,New York,47,37935
141,Ricci,Wilhelm,3,M,single,none,Bronx,New York,47,39729
142,Schmidt,Maria,24,F,married,carpenter,Queens,Italy,48,40020
143,Goldberg,Bridget,12,F,single,nurse,Brooklyn,Ireland,49,38698
144,Goldberg,Angela,65,F,married,grocer,Brooklyn,Ireland,49,45466
145,Goldberg,Esther,0,F,single,none,Brooklyn,Ireland,49,20694
146,Callahan,Heinrich,53,M,single,seamstress,Brooklyn,Russia,50,33705
147,Callahan,Joseph,9,M,single,none,Brooklyn,Russia,50,33394
148,Conti,Patrick,42,M,widowed,servant,Manhattan,Germany,51,23733
149,Bianchi,Sarah,54,F,married,machinist,Manhattan,Scotland,52,55047
150,Katz,Josef,9,M,single,none,Manhattan,Ireland,53,37448
151,Katz,Marta,46,F,widowed,driver,Manhattan,Ireland,53,27687
152,Katz,Maria,3,F,single,none,Manhattan,Ireland,53,28057
153,Katz,Otto,66,M,single,typesetter,Manhattan,Ireland,53,37349
154,Katz,Esther,28,F,single,baker,Manhattan,Ireland,53,41193
155,Jones,Sarah,1,F,single,none,Brooklyn,Ireland,54,33454
156,Jones,Josef,31,M,single,baker,Brooklyn,Ireland,54,42737
157,"O'Brien",Patrick,54,M,married,milliner,Queens,Ireland,55,40798
158,"O'Brien",William,65,M,married,laborer,Queens,Ireland,55,40559
159,Walsh,Angela,46,F,single,laborer,Manhattan,Germany,56,37908
160,Walsh,Teresa,23,F,single,machinist,Manhattan,Germany,56,52382
161,Katz,Ellen,64,F,single,milliner,Manhattan,Ireland,57,43312
162,Katz,Patrick,62,M,single,merchant,Manhattan,Ireland,57,130265
163,Katz,Leah,64,F,single,teacher,Manhattan,Ireland,57,62303
164,Katz,Salvatore,3,M,single,none,Manhattan,Ireland,57,38181
165,Katz,Gertrud,35,F,single,stevedore,Manhattan,Ireland,57,33924
166,Bianchi,Ellen,17,F,married,laborer,Manhattan,Ireland,58,22404
167,Bianchi,Abraham,40,M,married,servant,Manhattan,Ireland,58,26746
168,Bianchi,Giovanni,62,M,married,stevedore,Manhattan,Ireland,58,32880
169,Miller,Ellen,31,F,single,tailor,Manhattan,Italy,59,34829
170,Miller,Mary,3,F,single,none,Manhattan,Italy,59,31941
171,Miller,Catherine,54,F,married,teacher,Manhattan,Italy,59,61715
172,Miller,Otto,55,M,married,teacher,Manhattan,Italy,59,57037
173,Walsh,Olga,78,F,widowed,baker,Manhattan,Massachusetts,60,40793
174,Ricci,Zofia,49,F,single,clerk,Manhattan,Ireland,61,43243
175,Ricci,Otto,6,M,single,none,Manhattan,Ireland,61,25289
176,Conti,Rachel,6,F,single,none,Brooklyn,New York,62,21650
177,Bianchi,Marta,15,F,single,merchant,Manhattan,Russia,63,122025
178,Bianchi,David,76,M,single,laborer,Manhattan,Russia,63,27132
179,Bianchi,Margaret,22,F,widowed,baker,Manhattan,Russia,63,36706
180,Wojcik,Rebecca,8,F,single,none,Queens,New York,64,21719
181,Wojcik,Bridget,30,F,single,factory worker,Queens,New York,64,33267
182,Wojcik,Hilda,44,F,single,laborer,Queens,New York,64,28896
183,Wojcik,Catherine,8,F,single,none,Queens,New York,64,21364
184,Wojcik,Leah,6,F,single,none,Queens,New York,64,27472
185,Petrov,Greta,0,F,single,none,Manhattan,Ireland,65,23725
186,Petrov,Rosa,7,F,single,none,Manhattan,Ireland,65,23944
187,Petrov,Jacob,66,M,single,butcher,Manhattan,Ireland,65,43305
188,Petrov,Teresa,1,F,single,none,Manhattan,Ireland,65,39060
189,Petrov,Margaret,9,F,single,none,Manhattan,Ireland,65,20022
190,Weber,Abraham,0,M,single,none,Manhattan,New York,66,34635
191,Weber,Friedrich,2,M,single,none,Manhattan,New York,66,27534
192,Weber,Isaac,67,M,single,grocer,Manhattan,New York,66,36919
193,Weber,Jacob,35,M,married,shopkeeper,Manhattan,New York,66,78720
194,McCarthy,Daniel,20,M,married,stevedore,Brooklyn,Italy,67,42258
195,McCarthy,Antonio,12,M,single,laborer,Brooklyn,Italy,67,26070
196,Davis,Antonio,74,M,married,bookkeeper,Manhattan,New York,68,55914
197,Davis,Anna,28,F,married,teacher,Manhattan,New York,68,68905
198,Russo,Luigi,0,M,single,none,Manhattan,England,69,25983
199,Russo,Jacob,10,M,single,none,Manhattan,England,69,20258
200,Russo,Olga,63,F,single,porter,Manhattan,England,69,39658
201,Murphy,Hilda,60,F,single,bookkeeper,Manhattan,Ireland,70,61550
202,Murphy,Bridget,5,F,single,none,Manhattan,Ireland,70,34592
203,Murphy,Catherine,36,F,single,stevedore,Manhattan,Ireland,70,36817
204,Murphy,Luigi,40,M,single,cobbler,Manhattan,Ireland,70,39668
205,Murphy,Rosa,0,F,single,none,Manhattan,Ireland,70,36893
206,Fischer,Greta,55,F,widowed,nurse,Brooklyn,Ireland,71,37060
207,Fischer,Otto,63,M,single,carpenter,Brooklyn,Ireland,71,54880
208,Fischer,Elizabeth,46,F,single,seamstress,Manhattan,Germany,72,24105
209,Fischer,Josef,54,M,widowed,seamstress,Manhattan,Germany,72,28920
210,Fischer,Olga,1,F,single,none,Manhattan,Germany,72,27768
211,Fischer,Thomas,1,M,single,none,Manhattan,Germany,72,39484
212,Hoffmann,Josef,0,M,single,none,Queens,New York,73,36482
213,Hoffmann,Olga,77,F,married,clerk,Queens,New York,73,47542
214,Ivanov,Salvatore,26,M,single,nurse,Manhattan,Ireland,74,46942
215,Ivanov,Olga,33,F,single,factory worker,Manhattan,Ireland,74,35505
216,Ivanov,Elizabeth,43,F,single,merchant,Manhattan,Ireland,74,128077
217,Ivanov,William,7,M,single,none,Manhattan,Ireland,74,35324
218,Katz,Thomas,13,M,single,none,Manhattan,New York,75,28239
219,Roth,Joseph,9,M,single,none,Manhattan,New York,76,22828
220,Murphy,David,10,M,single,none,Manhattan,Germany,77,39178
221,Murphy,Thomas,48,M,single,nurse,Manhattan,Germany,77,42872
222,Murphy,Josef,55,M,married,grocer,Manhattan,Germany,77,47923
223,Stein,Jacob,0,M,single,none,Manhattan,Germany,78,34291
224,Stein,William,9,M,single,none,Manhattan,Germany,78,37822
225,Stein,Teresa,79,F,single,machinist,Manhattan,Germany,78,57547
226,Davis,Mary,4,F,single,none,Manhattan,Ireland,79,29539
227,Davis,Rosa,39,F,married,clerk,Manhattan,Ireland,79,48564
228,Davis,Heinrich,57,M,married,teacher,Manhattan,Ireland,79,63576
229,Davis,Elizabeth,20,F,single,milliner,Manhattan,Ireland,79,37143
230,Roth,Ruth,21,F,single,washerwoman,Manhattan,France,80,29386
231,Levy,Marta,58,F,widowed,merchant,Manhattan,Germany,81,124681
232,Levy,Marta,1,F,single,none,Manhattan,Germany,81,35618
233,Levy,Rosa,1,F,single,none,Manhattan,Germany,81,29634
234,Russo,Catherine,3,F,single,none,Queens,Germany,82,30170
235,Russo,Anna,68,F,single,porter,Queens,Germany,82,37919
236,Russo,Wilhelm,11,M,single,none,Queens,Germany,82,32182
237,Callahan,Maria,3,F,single,none,Brooklyn,New York,83,20857
238,Callahan,Abraham,17,M,married,none,Brooklyn,New York,83,38210
239,Callahan,Daniel,66,M,single,machinist,Brooklyn,New York,83,45157
240,Levy,Gertrud,28,F,married,carpenter,Bronx,Russia,84,59133
241,Levy,Bridget,77,F,married,teacher,Bronx,Russia,84,62073
242,Levy,Giovanni,2,M,single,none,Bronx,Russia,84,34276
243,Levy,Rachel,7,F,single,none,Bronx,Russia,84,31470
244,Levy,Rosa,42,F,married,grocer,Bronx,Russia,84,45066
245,Jones,Josef,16,M,single,shopkeeper,Manhattan,Ireland,85,79988
246,Marino,Joseph,56,M,single,driver,Manhattan,Germany,86,33847
247,Marino,Catherine,17,F,married,baker,Manhattan,Germany,86,48881
248,Ferrari,Hilda,54,F,single,laborer,Brooklyn,Ireland,87,31051
249,Ferrari,Daniel,7,M,single,none,Brooklyn,Ireland,87,22183
250,Ferrari,Olga,6,F,single,none,Brooklyn,Ireland,87,27054
251,Miller,Hilda,33,F,widowed,nurse,Queens,New Jersey,88,50383
252,Marino,Angela,73,F,single,machinist,Manhattan,Ireland,89,50957
253,Marino,Mary,16,F,single,servant,Manhattan,Ireland,89,17378
254,Marino,Giuseppe,64,M,single,seamstress,Manhattan,Ireland,89,36358
255,Russo,Giovanni,29,M,single,merchant,Queens,Germany,90,131117
256,Russo,Rachel,77,F,married,stevedore,Queens,Germany,90,38814
257,Russo,Esther,25,F,married,driver,Queens,Germany,90,41811
258,Ivanov,Hilda,49,F,divorced,cobbler,Brooklyn,Italy,91,30514
259,Ivanov,Margaret,70,F,married,teacher,Brooklyn,Italy,91,69764
260,Ivanov,Rosa,46,F,married,teacher,Brooklyn,Italy,91,68068
261,Ivanov,Greta,56,F,married,washerwoman,Brooklyn,Italy,91,15929
262,Miller,Maria,17,F,widowed,milliner,Manhattan,Germany,92,25431
263,Miller,Salvatore,39,M,married,carpenter,Manhattan,Germany,92,50499
264,Miller,Isaac,76,M,married,cobbler,Manhattan,Germany,92,46392
265,Miller,Giuseppe,25,M,single,driver,Manhattan,Germany,92,34613
266,Smith,Karl,61,M,married,laborer,Manhattan,England,93,24486
267,Smith,Stanislaw,24,M,single,butcher,Manhattan,England,93,51724
268,Smith,Boris,3,M,single,none,Manhattan,England,93,35105
269,Ricci,David,50,M,single,seamstress,Brooklyn,Ireland,94,26834
270,Ricci,Greta,3,F,single,none,Brooklyn,Ireland,94,25848
271,Ricci,Maria,68,F,single,nurse,Brooklyn,Ireland,94,46612
272,Ricci,Isaac,25,M,married,shopkeeper,Brooklyn,Ireland,94,67940
273,Davis,Maria,59,F,single,laborer,Bronx,New York,95,27840
274,Davis,Zofia,12,F,single,washerwoman,Bronx,New York,95,26159
275,Johansson,Isaac,22,M,married,tailor,Staten Island,New York,96,44809
276,Johansson,Bridget,44,F,single,bookkeeper,Staten Island,New York,96,57470
277,Johansson,Otto,14,M,single,butcher,Staten Island,New York,96,32900
278,Johansson,Leah,70,F,single,shopkeeper,Staten Island,New York,96,76928
279,Goldberg,Karl,41,M,single,shopkeeper,Manhattan,Germany,97,78036
280,Goldberg,Heinrich,67,M,widowed,stevedore,Manhattan,Germany,97,34566
281,Goldberg,Wilhelm,2,M,single,none,Manhattan,Germany,97,27654
282,Walsh,Joseph,35,M,single,tailor,Manhattan,Ireland,98,43045
283,Walsh,Angela,17,F,single,stevedore,Manhattan,Ireland,98,36830
284,Petrov,Bridget,78,F,married,stevedore,Manhattan,Germany,99,47465
285,Petrov,Esther,56,F,single,machinist,Manhattan,Germany,99,44847
286,Petrov,Angela,79,F,married,machinist,Manhattan,Germany,99,59571
287,Petrov,Friedrich,58,M,single,none,Manhattan,Germany,99,36651
288,Petrov,Friedrich,9,M,single,none,Manhattan,Germany,99,26647
289,Novak,Isaac,3,M,single,none,Manhattan,New York,100,29551
290,Johnson,Samuel,3,M,single,none,Manhattan,Ireland,101,39659
291,Johnson,Jacob,10,M,single,none,Manhattan,Ireland,101,32743
292,Murphy,Abraham,55,M,married,laborer,Manhattan,New York,102,35318
293,Murphy,Wilhelm,34,M,married,butcher,Manhattan,New York,102,43209
294,Murphy,Salvatore,54,M,single,servant,Manhattan,New York,102,15246
295,Murphy,Friedrich,41,M,married,seamstress,Manhattan,New York,102,37696
296,Andersen,Thomas,70,M,married,shopkeeper,Staten Island,Poland,103,68034
297,Andersen,John,43,M,married,butcher,Staten Island,Poland,103,32463
298,Andersen,Zofia,6,F,single,none,Staten Island,Poland,103,22308
299,Andersen,Patrick,51,M,single,milliner,Staten Island,Poland,103,42470
300,McCarthy,Antonio,16,M,single,driver,Brooklyn,Germany,104,45678
301,Petrov,Friedrich,46,M,single,merchant,Manhattan,New Jersey,105,127218
302,Petrov,Josef,4,M,single,none,Manhattan,New Jersey,105,29365
303,Walsh,Joseph,31,M,single,none,Manhattan,Germany,106,22180
304,Walsh,Esther,8,F,single,none,Manhattan,Germany,106,39607
305,Walsh,David,15,M,single,none,Manhattan,Germany,106,28336
306,Walsh,Stanislaw,36,M,married,nurse,Manhattan,Germany,106,39488
307,Walsh,Karl,70,M,single,laborer,Manhattan,Germany,106,24705
308,Williams,Elizabeth,0,F,single,none,Brooklyn,New York,107,36236
309,Williams,John,5,M,single,none,Brooklyn,New York,107,37693
310,Williams,Abraham,31,M,single,bookkeeper,Brooklyn,New York,107,62148
311,Williams,Teresa,51,F,single,butcher,Brooklyn,New York,107,48313
312,Rossi,Ruth,11,F,single,none,Brooklyn,New York,108,21228
313,Becker,Marta,72,F,single,washerwoman,Manhattan,New York,109,20733
314,Becker,Marta,1,F,single,none,Manhattan,New York,109,23603
315,Fischer,Leah,79,F,widowed,machinist,Manhattan,Germany,110,47498
316,Fischer,Rosa,24,F,married,milliner,Manhattan,Germany,110,44389
317,Fischer,Elizabeth,68,F,married,clerk,Manhattan,Germany,110,57672
318,Fischer,Rachel,0,F,single,none,Manhattan,Germany,110,27155
319,Petrov,Teresa,66,F,single,porter,Manhattan,Ireland,111,32201
320,Petrov,Joseph,23,M,single,cobbler,Manhattan,Ireland,111,46743
321,Petrov,Catherine,72,F,single,carpenter,Manhattan,Ireland,111,52853
322,Weber,Teresa,11,F,single,none,Brooklyn,France,112,28480
323,Lewandowski,Teresa,42,F,single,teacher,Manhattan,Sweden,113,55648
324,Lewandowski,Luigi,39,M,married,machinist,Manhattan,Sweden,113,56505
325,Lewandowski,Thomas,3,M,single,none,Manhattan,Sweden,113,22129
326,Lewandowski,Luigi,24,M,married,grocer,Manhattan,Sweden,113,35517
327,Lewandowski,Karl,65,M,married,teacher,Manhattan,Sweden,113,51676
328,Bianchi,Daniel,0,M,single,none,Manhattan,Germany,114,20425
329,Bianchi,Heinrich,23,M,married,butcher,Manhattan,Germany,114,40981
330,Bianchi,Leah,71,F,single,washerwoman,Manhattan,Germany,114,17890
331,Davis,Mary,63,F,single,seamstress,Brooklyn,New York,115,34101
332,Davis,Elizabeth,21,F,single,cobbler,Brooklyn,New York,115,45213
333,Davis,Gertrud,7,F,single,none,Brooklyn,New York,115,21020
334,Davis,Josef,71,M,divorced,butcher,Brooklyn,New York,115,38034
335,Esposito,Rachel,76,F,widowed,milliner,Manhattan,Germany,116,30718
336,Esposito,Patrick,78,M,widowed,cobbler,Manhattan,Germany,116,34042
337,Esposito,Gertrud,44,F,married,nurse,Manhattan,Germany,116,36149
338,Esposito,Heinrich,2,M,single,none,Manhattan,Germany,116,34854
339,Esposito,Samuel,6,M,single,none,Manhattan,Germany,116,24555
340,Levy,Giuseppe,28,M,widowed,bookkeeper,Manhattan,New York,117,59854
341,Levy,Luigi,17,M,single,stevedore,Manhattan,New York,117,31287
342,Levy,Luigi,49,M,married,porter,Manhattan,New York,117,33027
343,Smith,Greta,43,F,widowed,typesetter,Brooklyn,New York,118,43018
344,Smith,Rebecca,0,F,single,none,Brooklyn,New York,118,29089
345,Smith,Marta,36,F,single,tailor,Brooklyn,New York,118,46880
346,Johnson,Elizabeth,3,F,single,none,Brooklyn,Ireland,119,32594
347,Davis,Bridget,16,F,single,baker,Staten Island,New York,120,34719
348,Davis,Leah,41,F,single,factory worker,Staten Island,New York,120,26995
349,Davis,Margaret,55,F,married,tailor,Staten Island,New York,120,37567
350,Weber,Teresa,68,F,single,nurse,Brooklyn,Italy,121,41306
351,Murphy,Ruth,43,F,married,baker,Manhattan,Ireland,122,49755
352,Murphy,Leah,12,F,single,none,Manhattan,Ireland,122,20583
353,Murphy,Jacob,6,M,single,none,Manhattan,Ireland,122,24246
354,Ferrari,Anna,1,F,single,none,Queens,Germany,123,23985
355,Cohen,Boris,74,M,married,tailor,Manhattan,Ireland,124,43285
356,Cohen,Heinrich,30,M,married,cobbler,Manhattan,Ireland,124,33947
357,Cohen,Ellen,11,F,single,none,Manhattan,Ireland,124,26389
358,Murphy,Otto,3,M,single,none,Manhattan,Poland,125,39577
359,Murphy,Abraham,2,M,single,none,Manhattan,Poland,125,30601
360,Silverman,Isaac,34,M,single,porter,Brooklyn,New York,126,38982
361,Silverman,Anna,10,F,single,none,Brooklyn,New York,126,27093
362,Johansson,Jacob,6,M,single,none,Manhattan,Ireland,127,23471
363,Johansson,Marta,20,F,married,stevedore,Manhattan,Ireland,127,44391
364,Johansson,Giovanni,18,M,married,grocer,Manhattan,Ireland,127,46154
365,Johansson,Olga,34,F,married,baker,Manhattan,Ireland,127,42361
366,Johansson,Bridget,53,F,married,typesetter,Manhattan,Ireland,127,53499
367,Klein,Michael,68,M,married,clerk,Manhattan,New Jersey,128,50390
368,Klein,Leah,54,F,married,shopkeeper,Manhattan,New Jersey,128,65180
369,Klein,Hilda,37,F,single,milliner,Manhattan,New Jersey,128,26173
370,Klein,Josef,31,M,single,milliner,Manhattan,New Jersey,128,25688
371,Ivanov,Josef,51,M,single,driver,Brooklyn,Ireland,129,46298
372,Ivanov,Teresa,29,F,married,typesetter,Brooklyn,Ireland,129,38135
373,Cohen,Giovanni,45,M,single,typesetter,Manhattan,Germany,130,40551
374,Cohen,Giovanni,3,M,single,none,Manhattan,Germany,130,26818
375,Cohen,Joseph,35,M,widowed,typesetter,Manhattan,Germany,130,52746
376,Stein,Gertrud,49,F,married,carpenter,Manhattan,Germany,131,55183
377,Stein,Jacob,0,M,single,none,Manhattan,Germany,131,27552
378,Wagner,Ruth,42,F,married,laborer,Manhattan,Italy,132,26517
379,Wagner,Thomas,0,M,single,none,Manhattan,Italy,132,26790
380,Wagner,Marta,73,F,single,teacher,Manhattan,Italy,132,61365
381,Katz,Boris,12,M,single,none,Manhattan,Russia,133,34113
